2025-09-20 21:59:42 | INFO | Kafka producer connected to localhost:9092
2025-09-20 21:59:42 | INFO | {'message': 'I just saw game! It was boring.', 'author': 'Charlie', 'timestamp': '2025-09-20 21:59:42', 'category': 'gaming', 'sentiment': 0.82, 'keyword_mentioned': 'game', 'message_length': 31}
2025-09-20 21:59:42 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just saw game! It was boring.', 'author': 'Charlie', 'timestamp': '2025-09-20 21:59:42', 'category': 'gaming', 'sentiment': 0.82, 'keyword_mentioned': 'game', 'message_length': 31}
2025-09-20 21:59:47 | INFO | {'message': 'I just found recipe! It was boring.', 'author': 'Charlie', 'timestamp': '2025-09-20 21:59:47', 'category': 'food', 'sentiment': 0.46, 'keyword_mentioned': 'recipe', 'message_length': 35}
2025-09-20 21:59:47 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just found recipe! It was boring.', 'author': 'Charlie', 'timestamp': '2025-09-20 21:59:47', 'category': 'food', 'sentiment': 0.46, 'keyword_mentioned': 'recipe', 'message_length': 35}
2025-09-20 21:59:52 | INFO | {'message': 'I just found a meme! It was amazing.', 'author': 'Bob', 'timestamp': '2025-09-20 21:59:52', 'category': 'humor', 'sentiment': 0.55, 'keyword_mentioned': 'meme', 'message_length': 36}
2025-09-20 21:59:52 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just found a meme! It was amazing.', 'author': 'Bob', 'timestamp': '2025-09-20 21:59:52', 'category': 'humor', 'sentiment': 0.55, 'keyword_mentioned': 'meme', 'message_length': 36}
2025-09-20 21:59:57 | INFO | {'message': 'I just loved an app! It was exciting.', 'author': 'Eve', 'timestamp': '2025-09-20 21:59:57', 'category': 'other', 'sentiment': 0.1, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-20 21:59:57 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just loved an app! It was exciting.', 'author': 'Eve', 'timestamp': '2025-09-20 21:59:57', 'category': 'other', 'sentiment': 0.1, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-20 22:00:02 | INFO | {'message': 'I just tried a meme! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-20 22:00:02', 'category': 'humor', 'sentiment': 0.65, 'keyword_mentioned': 'meme', 'message_length': 35}
2025-09-20 22:00:02 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just tried a meme! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-20 22:00:02', 'category': 'humor', 'sentiment': 0.65, 'keyword_mentioned': 'meme', 'message_length': 35}
2025-09-20 22:00:07 | INFO | Logging to file: logs/project_log.log
2025-09-20 22:00:07 | INFO | Log sanitization enabled, personal info removed
2025-09-20 22:00:07 | INFO | START consumer.
2025-09-20 22:00:07 | INFO | Kafka topic: project_json
2025-09-20 22:00:07 | INFO | Kafka consumer group id: buzz_group
2025-09-20 22:00:07 | INFO | Consumer: Topic 'project_json' and group 'buzz_group'...
2025-09-20 22:00:07 | INFO | Kafka broker address: localhost:9092
2025-09-20 22:00:07 | INFO | Creating Kafka consumer. Topic='project_json' and group ID='buzz_group'.
2025-09-20 22:00:07 | INFO | Kafka consumer created successfully.
2025-09-20 22:00:07 | INFO | Polling messages from topic 'project_json'...
2025-09-20 22:00:07 | INFO | {'message': 'I just saw Python! It was amazing.', 'author': 'Bob', 'timestamp': '2025-09-20 22:00:07', 'category': 'tech', 'sentiment': 0.47, 'keyword_mentioned': 'Python', 'message_length': 34}
2025-09-20 22:00:07 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just saw Python! It was amazing.', 'author': 'Bob', 'timestamp': '2025-09-20 22:00:07', 'category': 'tech', 'sentiment': 0.47, 'keyword_mentioned': 'Python', 'message_length': 34}
2025-09-20 22:00:10 | INFO | Processed JSON message: {'message': 'I just tried game! It was funny.', 'author': 'Eve', 'timestamp': '2025-09-20 15:34:09', 'category': 'gaming', 'sentiment': 0.61, 'keyword_mentioned': 'game', 'message_length': 32}
2025-09-20 22:00:10 | INFO | Message category: gaming, sentiment: 0.61
2025-09-20 22:00:10 | INFO | Updated category sentiments: {'gaming': [0.61]}
2025-09-20 22:00:10 | INFO | Chart updated successfully for message: {"message": "I just tried game! It was funny.", "author": "Eve", "timestamp": "2025-09-20 15:34:09", "category": "gaming", "sentiment": 0.61, "keyword_mentioned": "game", "message_length": 32}
2025-09-20 22:00:10 | INFO | Processed JSON message: {'message': 'I just tried an app! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-20 15:34:14', 'category': 'other', 'sentiment': 0.07, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-20 22:00:10 | INFO | Message category: other, sentiment: 0.07
2025-09-20 22:00:10 | INFO | Updated category sentiments: {'gaming': [0.61], 'other': [0.07]}
2025-09-20 22:00:10 | INFO | Chart updated successfully for message: {"message": "I just tried an app! It was exciting.", "author": "Alice", "timestamp": "2025-09-20 15:34:14", "category": "other", "sentiment": 0.07, "keyword_mentioned": "other", "message_length": 37}
2025-09-20 22:00:10 | INFO | Processed JSON message: {'message': 'I just found a movie! It was amazing.', 'author': 'Charlie', 'timestamp': '2025-09-20 15:34:19', 'category': 'entertainment', 'sentiment': 0.85, 'keyword_mentioned': 'movie', 'message_length': 37}
2025-09-20 22:00:10 | INFO | Message category: entertainment, sentiment: 0.85
2025-09-20 22:00:10 | INFO | Updated category sentiments: {'gaming': [0.61], 'other': [0.07], 'entertainment': [0.85]}
2025-09-20 22:00:10 | INFO | Chart updated successfully for message: {"message": "I just found a movie! It was amazing.", "author": "Charlie", "timestamp": "2025-09-20 15:34:19", "category": "entertainment", "sentiment": 0.85, "keyword_mentioned": "movie", "message_length": 37}
2025-09-20 22:00:10 | INFO | Processed JSON message: {'message': 'I just loved a meme! It was amazing.', 'author': 'Bob', 'timestamp': '2025-09-20 15:34:24', 'category': 'humor', 'sentiment': 0.05, 'keyword_mentioned': 'meme', 'message_length': 36}
2025-09-20 22:00:10 | INFO | Message category: humor, sentiment: 0.05
2025-09-20 22:00:10 | INFO | Updated category sentiments: {'gaming': [0.61], 'other': [0.07], 'entertainment': [0.85], 'humor': [0.05]}
2025-09-20 22:00:11 | INFO | Chart updated successfully for message: {"message": "I just loved a meme! It was amazing.", "author": "Bob", "timestamp": "2025-09-20 15:34:24", "category": "humor", "sentiment": 0.05, "keyword_mentioned": "meme", "message_length": 36}
2025-09-20 22:00:11 | INFO | Processed JSON message: {'message': 'I just found a meme! It was funny.', 'author': 'Eve', 'timestamp': '2025-09-20 15:34:29', 'category': 'humor', 'sentiment': 0.57, 'keyword_mentioned': 'meme', 'message_length': 34}
2025-09-20 22:00:11 | INFO | Message category: humor, sentiment: 0.57
2025-09-20 22:00:11 | INFO | Updated category sentiments: {'gaming': [0.61], 'other': [0.07], 'entertainment': [0.85], 'humor': [0.05, 0.57]}
2025-09-20 22:00:11 | INFO | Chart updated successfully for message: {"message": "I just found a meme! It was funny.", "author": "Eve", "timestamp": "2025-09-20 15:34:29", "category": "humor", "sentiment": 0.57, "keyword_mentioned": "meme", "message_length": 34}
2025-09-20 22:00:11 | INFO | Processed JSON message: {'message': 'I just loved an app! It was weird.', 'author': 'Alice', 'timestamp': '2025-09-20 15:34:34', 'category': 'other', 'sentiment': 0.6, 'keyword_mentioned': 'other', 'message_length': 34}
2025-09-20 22:00:11 | INFO | Message category: other, sentiment: 0.6
2025-09-20 22:00:11 | INFO | Updated category sentiments: {'gaming': [0.61], 'other': [0.07, 0.6], 'entertainment': [0.85], 'humor': [0.05, 0.57]}
2025-09-20 22:00:11 | INFO | Chart updated successfully for message: {"message": "I just loved an app! It was weird.", "author": "Alice", "timestamp": "2025-09-20 15:34:34", "category": "other", "sentiment": 0.6, "keyword_mentioned": "other", "message_length": 34}
2025-09-20 22:00:11 | INFO | Processed JSON message: {'message': 'I just saw a trick! It was boring.', 'author': 'Eve', 'timestamp': '2025-09-20 15:34:39', 'category': 'other', 'sentiment': 0.36, 'keyword_mentioned': 'other', 'message_length': 34}
2025-09-20 22:00:11 | INFO | Message category: other, sentiment: 0.36
2025-09-20 22:00:11 | INFO | Updated category sentiments: {'gaming': [0.61], 'other': [0.07, 0.6, 0.36], 'entertainment': [0.85], 'humor': [0.05, 0.57]}
2025-09-20 22:00:11 | INFO | Chart updated successfully for message: {"message": "I just saw a trick! It was boring.", "author": "Eve", "timestamp": "2025-09-20 15:34:39", "category": "other", "sentiment": 0.36, "keyword_mentioned": "other", "message_length": 34}
2025-09-20 22:00:11 | INFO | Processed JSON message: {'message': 'I just saw an app! It was exciting.', 'author': 'Bob', 'timestamp': '2025-09-20 15:34:44', 'category': 'other', 'sentiment': 0.94, 'keyword_mentioned': 'other', 'message_length': 35}
